1,Пакети програмного забезпечення для продажу та реалізації продукції і бізнес-аналітики
2,"Послуги, пов’язані з базами даних"
3,Послуги з технічного обслуговування ліфтів
4,Послуги провайдерів
5,Послуги з дератизації
6,Утилізація/видалення сміття та поводження зі сміттям
7,Послуги у сфері локальних мереж
8,"Послуги, пов’язані із системами та підтримкою"
9,Послуги у сфері медичної освіти
10,Послуги з надання в оренду чи лізингу нежитлової нерухомості
11,"Послуги у сфері поводження з радіоактивними, токсичними, медичними та небезпечними відходами"
12,Консультаційні послуги з питань систем та з технічних питань
13,"Телекомунікаційні послуги, крім послуг телефонного зв’язку і передачі даних"
14,Фармацевтична продукція
15,Капітальний ремонт і реставрація
16,Нафта і дистиляти
17,Послуги з ремонту і технічного обслуговування медичного та хірургічного обладнання
18,Водоохолоджувачі
19,Поліетиленові мішки та пакети для сміття
20,Будівельні товари
21,Фурнітура різна
22,Технічне обслуговування і ремонт офісної техніки
23,Офісне устаткування та приладдя різне
24,Інформаційні системи
25,Послуги з ремонту і технічного обслуговування мототранспортних засобів і супутнього обладнання
26,Послуги у сфері охорони здоров’я різні
27,Паперові чи картонні реєстраційні журнали
28,Детектори та аналізатори
29,Друкована продукція на замовлення
30,Електричні побутові прилади
31,"Мастики, шпаклівки, замазки та розчинники"
32,"Замки, ключі та петлі"
33,Котельні установки
34,Системи реєстрації медичної інформації та дослідне обладнання
35,Обладнання для анестезії та реанімації
36,Послуги з професійної підготовки у сфері безпеки
37,"Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування"
38,"Туалетний папір, носові хустинки, рушники для рук і серветки"
39,Меблі та приспособи різні
40,Комп’ютерне обладнання
41,Частини холодильного та морозильного обладнання і теплових насосів
42,Телевізійне й аудіовізуальне обладнання
43,Бланки
44,Вироби домашнього текстилю
45,Послуги з професійної підготовки спеціалістів
46,Офісні меблі
47,"Сидіння, стільці та супутні вироби і частини до них"
48,Меблі для дому
49,Світильники та освітлювальна арматура
50,Мережеве обладнання
51,Інші завершальні будівельні роботи
52,Медичне обладнання та вироби медичного призначення різні
53,Апаратура для підтримування фізіологічних функцій організму
54,Устаткування для операційних блоків
55,Прокат вантажних транспортних засобів із водієм для перевезення товарів
56,Послуги лікувальних закладів та супутні послуги
57,Дезинфекційні засоби
58,Медичні матеріали
59,Баласти для розрядних ламп чи трубок
60,Бензин
61,Канцелярські товари
62,Лікарські засоби різні
63,Прокат техніки та обладнання з оператором для виконання будівельних робіт та цивільного будівництва
64,Електрична енергія
65,Насоси та компресори
66,Прокат підіймальних кранів із оператором
67,"Послуги із забезпечення громадської безпеки, охорони правопорядку та громадського порядку"
68,Частини та приладдя до транспортних засобів і їх двигунів
69,Вугілля
70,Цемент
71,Адгезиви
72,Друкарська фарба
73,Послуги з нагляду за виконанням будівельних робіт
74,"Послуги, пов’язані з програмним забезпеченням"
75,Послуги з обробки даних
76,Хліб
77,"Регулювальне, запобіжне, сигнальне та освітлювальне обладнання"
78,Електричні лампи розжарення
79,Послуги різних навчальних закладів
80,Елементи електричних схем
81,Страхові послуги
82,"Риба, рибне філе та інше м’ясо риби морожені"
83,Послуги з організації заходів
84,Приладдя для рукоділля
85,Послуги з ремонту і технічного обслуговування персональних комп’ютерів
86,Конструкції та їх частини
87,Апаратура для анестезії та реанімації
88,"Механічні запасні частини, крім двигунів і частин двигунів"
89,"Роботи, пов’язані з об’єктами завершеного чи незавершеного будівництва та об’єктів цивільного будівництва"
90,Завершальні будівельні роботи
91,"Послуги, пов’язані з друком"
92,Какао-порошок непідсолоджений
93,Бетонні вироби
94,Рентгенівська плівка
95,Шкільні меблі
96,"Пара, гаряча вода та пов’язана продукція"
97,Машини для обробки даних (апаратна частина)
98,Друковані книги
99,"Мітли, щітки та інше господарське приладдя"
100,"Акумулятори, гальванічні елементи та гальванічні батареї"
101,Конструкційні матеріали
102,Розчини для ін’єкцій
103,Мікрофони та гучномовці
104,Столярні вироби
105,Світильники зовнішнього освітлення
106,Газове паливо
107,Кріпильні деталі
108,"Візуалізаційне обладнання з використанням ехографії, ультразвуку чи доплерографії"
109,Системи та пристрої нагляду та охорони
110,Моторні оливи
111,Постачальники Інтернет-послуг
112,Знаряддя
113,Спеціалізована хімічна продукція
114,Пастеризоване молоко
115,Послуги з інженерного проектування
116,Послуги з тимчасового розміщення (проживання) та офісні послуги
117,Послуги з чищення каналізаційних колекторів
118,Верхній одяг різний
119,Електричне приладдя та супутні товари до електричного обладнання
120,Послуги з програмування та консультаційні послуги з питань програмного забезпечення
121,Вершкове масло
122,Спеціальний робочий одяг
123,Аудіометри
124,Скло
125,Оброблені фрукти та овочі
126,Вироби для ванної кімнати та кухні
127,Рафіновані олії
128,Вироби з дроту
129,Нафтовий газ скраплений
130,Морожена риба
131,Двері
132,Тверде паливо
133,Продукція для чищення
134,Медичне обладнання
135,Поштові послуги
136,М’ясопродукти
137,"Вертольоти, літаки, космічні та інші літальні апарати з двигуном"
138,Розподіл газу
139,Послуги їдалень
140,"Хлібопродукти, свіжовипечені хлібобулочні та кондитерські вироби"
