1,Івано-Франківська область
2,Київська область
3,Миколаївська область
4,Хмельницька область
5,Одеська область
6,Черкаська область
7,Чернівецька область
8,Дніпропетровська область
9,Волинська область
10,Харківська область
11,Кіровоградська область
12,Полтавська область
13,Рівненська область
14,Вінницька область
15,Тернопільська область
16,Львівська область
17,Чернігівська область
18,Запорізька область
19,Донецька область
20,N/A
21,Закарпатська область
22,Сумська область
23,м. Київ
